year;artists;explicit;name;popularity;tempo;artists_song
2000;Coldplay;0;Yellow;84;173.372;Coldplay - Yellow
2000;OutKast;1;Ms. Jackson;80;94.948;OutKast - Ms. Jackson
2000;Linkin Park;0;In the End;84;105.143;Linkin Park - In the End
2000;3 Doors Down;0;Kryptonite;78;99.009;3 Doors Down - Kryptonite
2000;Eminem;1;The Real Slim Shady;80;104.504;Eminem - The Real Slim Shady
2000;Disturbed;1;Down with the Sickness;76;89.954;Disturbed - Down with the Sickness
2000;Nelly;1;Ride Wit Me;74;101.875;Nelly - Ride Wit Me
2000;Eminem;1;Stan;78;80.063;Eminem - Stan
2000;*NSYNC;0;Bye Bye Bye;71;172.638;*NSYNC - Bye Bye Bye
2000;Britney Spears;0;Oops!...I Did It Again;78;95.053;Britney Spears - Oops!...I Did It Again
2000;Coldplay;0;Sparks;73;102.617;Coldplay - Sparks
2000;Linkin Park;0;One Step Closer;76;95.136;Linkin Park - One Step Closer
2000;Shaggy;0;It Wasn't Me;76;94.759;Shaggy - It Wasn't Me
2000;Nelly;1;Country Grammar (Hot Shit);70;16.283.100.000.000.000;Nelly - Country Grammar (Hot Shit)
2000;The Beatles;0;Hey Jude - Remastered 2015;76;147.207;The Beatles - Hey Jude - Remastered 2015
2000;The Beatles;0;I Want To Hold Your Hand - Remastered 2015;73;130.726;The Beatles - I Want To Hold Your Hand - Remastered 2015
2000;Lifehouse;0;Hanging By A Moment;65;124.557;Lifehouse - Hanging By A Moment
2000;Linkin Park;0;Crawling;73;105.076;Linkin Park - Crawling
2000;OutKast;1;So Fresh, So Clean;68;166.028;OutKast - So Fresh, So Clean
2000;Sam Cooke;0;(What A) Wonderful World;72;128.518;Sam Cooke - (What A) Wonderful World
2000;Limp Bizkit;1;Rollin' (Air Raid Vehicle);74;96.306;Limp Bizkit - Rollin' (Air Raid Vehicle)
2000;Shaggy;0;Angel;72;17.053.099.999.999.900;Shaggy - Angel
2000;Eminem;1;The Way I Am;71;8.724.799.999.999.990;Eminem - The Way I Am
2000;Deftones;0;Change (In the House of Flies);68;14.158.100.000.000.000;Deftones - Change (In the House of Flies)
2000;Linkin Park;0;Papercut;72;150.184;Linkin Park - Papercut
2000;*NSYNC;0;It's Gonna Be Me;66;165.071;*NSYNC - It's Gonna Be Me
2000;Britney Spears;0;My Only Wish (This Year);72;147.08;Britney Spears - My Only Wish (This Year)
2000;U2;0;Beautiful Day;64;136.279;U2 - Beautiful Day
2000;Sam Cooke;0;Bring It On Home to Me;68;70.863;Sam Cooke - Bring It On Home to Me
2000;Ludacris;1;What's Your Fantasy (Featuring Shawna);64;140.095;Ludacris - What's Your Fantasy (Featuring Shawna)
2000;Godsmack;1;Awake;66;112.092;Godsmack - Awake
2000;Christina Aguilera;0;This Christmas;67;183.79;Christina Aguilera - This Christmas
2000;A Perfect Circle;1;Judith;66;82.305;A Perfect Circle - Judith
2000;Sam Cooke;0;You Send Me;64;96.77;Sam Cooke - You Send Me
2000;Eminem;1;Kill You;69;106.991;Eminem - Kill You
2000;Joe;0;I Wanna Know;65;136.086;Joe - I Wanna Know
2000;Limp Bizkit;1;My Way;71;97.225;Limp Bizkit - My Way
2000;*NSYNC;0;This I Promise You;70;165.975;*NSYNC - This I Promise You
2000;Ja Rule;1;Put It On Me;64;93.14;Ja Rule - Put It On Me
2000;Christina Aguilera;0;Have Yourself a Merry Little Christmas;66;6.853.399.999.999.990;Christina Aguilera - Have Yourself a Merry Little Christmas
2000;Rage Against The Machine;0;Renegades Of Funk;66;123.851;Rage Against The Machine - Renegades Of Funk
2000;OutKast;1;B.O.B. - Bombs Over Baghdad;64;153.809;OutKast - B.O.B. - Bombs Over Baghdad
2000;Matchbox Twenty;0;If You're Gone;66;109.933;Matchbox Twenty - If You're Gone
2000;Erykah Badu;0;Didn't Cha Know;64;13.527.700.000.000.000;Erykah Badu - Didn't Cha Know
2000;Enya;0;Only Time;71;82.803;Enya - Only Time
2000;Mindless Self Indulgence;1;Faggot;65;152.042;Mindless Self Indulgence - Faggot
2000;Eminem;1;Bitch Please II;69;95.517;Eminem - Bitch Please II
2000;Mudvayne;0;Dig;63;134.975;Mudvayne - Dig
2000;Backstreet Boys;0;Shape of My Heart;73;96.102;Backstreet Boys - Shape of My Heart
2000;Joan Sebastian;0;Me Gustas;71;145.375;Joan Sebastian - Me Gustas
2000;Radiohead;0;Treefingers;63;138.305;Radiohead - Treefingers
2000;Los Tucanes De Tijuana;0;Mis Tres Viejas;64;98.865;Los Tucanes De Tijuana - Mis Tres Viejas
2000;Sade;0;By Your Side;68;14.607.299.999.999.900;Sade - By Your Side
2000;Nelly Furtado;0;I'm Like A Bird;61;89.661;Nelly Furtado - I'm Like A Bird
2000;Coldplay;0;Trouble;72;139.757;Coldplay - Trouble
2000;Musiq Soulchild;0;Just Friends (Sunny);59;95.018;Musiq Soulchild - Just Friends (Sunny)
2000;Limp Bizkit;0;Take A Look Around;72;101.968;Limp Bizkit - Take A Look Around
2000;Linkin Park;0;A Place for My Head;66;133.063;Linkin Park - A Place for My Head
2000;Three 6 Mafia;1;Sippin On Some Syrup (feat. UGK (Underground Kingz) & Project Pat);58;136.019;Three 6 Mafia - Sippin On Some Syrup (feat. UGK (Underground Kingz) & Project Pat)
2000;Britney Spears;0;Stronger;66;108.049;Britney Spears - Stronger
2000;Deftones;0;Passenger;62;117.987;Deftones - Passenger
2000;Joan Sebastian;0;Secreto De Amor;67;96.502;Joan Sebastian - Secreto De Amor
2000;Phoenix;0;If I Ever Feel Better;66;119.7;Phoenix - If I Ever Feel Better
2000;Mindless Self Indulgence;1;Bitches;61;95.897;Mindless Self Indulgence - Bitches
2000;Linkin Park;0;Points of Authority;66;94.952;Linkin Park - Points of Authority
2000;Britney Spears;0;Lucky;65;95.026;Britney Spears - Lucky
2000;The Beatles;0;She Loves You - Mono / Remastered;67;75.533;The Beatles - She Loves You - Mono / Remastered
2000;Los Tucanes De Tijuana;0;El Amor Soñado;63;142.975;Los Tucanes De Tijuana - El Amor Soñado
2000;Frédéric Chopin;0;Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.;66;163.665;Frédéric Chopin - Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.
2000;Nelly;1;E.I.;59;8.984.899.999.999.990;Nelly - E.I.
2000;Jagged Edge;0;He Can't Love U;59;126.279;Jagged Edge - He Can't Love U
2000;Radiohead;0;Everything In Its Right Place;65;124.004;Radiohead - Everything In Its Right Place
2000;A Perfect Circle;0;3 Libras;60;144.019;A Perfect Circle - 3 Libras
2000;JAY-Z;1;I Just Wanna Love U (Give It 2 Me);60;98.631;JAY-Z - I Just Wanna Love U (Give It 2 Me)
2000;Coldplay;0;Don't Panic;65;122.062;Coldplay - Don't Panic
2000;The Offspring;0;Want You Bad;67;105.544;The Offspring - Want You Bad
2000;Joan Sebastian;0;Un Idiota;66;85.366;Joan Sebastian - Un Idiota
2000;Linkin Park;0;Runaway;64;109.16;Linkin Park - Runaway
2000;Deftones;0;Digital Bath;61;92.966;Deftones - Digital Bath
2000;Jill Scott;0;A Long Walk;55;75.714;Jill Scott - A Long Walk
2000;Switchfoot;0;Dare You To Move;59;139.986;Switchfoot - Dare You To Move
2000;Gillian Welch;0;I'll Fly Away;57;102.935;Gillian Welch - I'll Fly Away
2000;3 Doors Down;0;Loser;58;14.791.299.999.999.900;3 Doors Down - Loser
2000;Hank Williams;0;A Country Boy Can Survive;56;75.184;Hank Williams - A Country Boy Can Survive
2000;Jagged Edge;0;Let's Get Married;58;109.821;Jagged Edge - Let's Get Married
2000;DAngelo;0;Untitled (How Does It Feel);60;112.618;DAngelo - Untitled (How Does It Feel)
2000;Musiq Soulchild;0;Love;55;99.738;Musiq Soulchild - Love
2000;Enya;0;A Day Without Rain;63;7.061.399.999.999.990;Enya - A Day Without Rain
2000;Coldplay;0;Shiver;66;116.705;Coldplay - Shiver
2000;Modest Mouse;0;Gravity Rides Everything;56;103.262;Modest Mouse - Gravity Rides Everything
2000;Nelly;1;Batter Up;57;159.711;Nelly - Batter Up
2000;The Beatles;0;I Feel Fine - Remastered 2015;63;8.984.700.000.000.000;The Beatles - I Feel Fine - Remastered 2015
2000;Radiohead;0;How To Disappear Completely;62;102.041;Radiohead - How To Disappear Completely
2000;Jagged Edge;0;Promise;57;128.002;Jagged Edge - Promise
2000;3 Doors Down;0;Be Like That;60;95.982;3 Doors Down - Be Like That
2000;The Beatles;0;Day Tripper - Remastered 2015;62;137.453;The Beatles - Day Tripper - Remastered 2015
2000;Linkin Park;0;With You;63;196.921;Linkin Park - With You
2000;The Beatles;0;Paperback Writer - Remastered 2015;62;78.696;The Beatles - Paperback Writer - Remastered 2015
2000;Linkin Park;0;My December;63;100.021;Linkin Park - My December
2000;Los Cadetes De Linares;0;Flor de Capomo;62;112.784;Los Cadetes De Linares - Flor de Capomo
2000;Rage Against The Machine;1;How I Could Just Kill a Man;59;95.884;Rage Against The Machine - How I Could Just Kill a Man
2000;Jill Scott;0;He Loves Me (Lyzel in E Flat);54;99.989;Jill Scott - He Loves Me (Lyzel in E Flat)
2000;Enya;0;Wild Child;63;79.705;Enya - Wild Child
2000;Hank Williams;0;Family Tradition;55;126.342;Hank Williams - Family Tradition
2000;Linkin Park;0;By Myself;61;103.026;Linkin Park - By Myself
2000;The Avalanches;0;Since I Left You;58;102.779;The Avalanches - Since I Left You
2000;Limp Bizkit;0;Hot Dog;62;101.183;Limp Bizkit - Hot Dog
2000;Eminem;1;Criminal;60;101.941;Eminem - Criminal
2000;Johnny Cash;0;I Won't Back Down;54;113.702;Johnny Cash - I Won't Back Down
2000;Avant;0;Separated;55;108.241;Avant - Separated
2000;Jill Scott;0;The Way;53;140.418;Jill Scott - The Way
2000;Eminem;1;Marshall Mathers;59;95.935;Eminem - Marshall Mathers
2000;Limp Bizkit;1;My Generation;66;104.012;Limp Bizkit - My Generation
2000;The Beatles;0;Yesterday - Remastered 2015;60;94.509;The Beatles - Yesterday - Remastered 2015
2000;Ryan Adams;0;Come Pick Me Up;56;123.625;Ryan Adams - Come Pick Me Up
2000;Ryan Adams;0;To Be Young (Is to Be Sad, Is to Be High);55;92.582;Ryan Adams - To Be Young (Is to Be Sad, Is to Be High)
2000;Eminem;1;I'm Back;59;89.995;Eminem - I'm Back
2000;The Beatles;0;Lady Madonna - Remastered 2015;61;109.608;The Beatles - Lady Madonna - Remastered 2015
2000;Los Originales De San Juan;0;La Caspa Del Diablo;57;112.401;Los Originales De San Juan - La Caspa Del Diablo
2000;Linkin Park;0;Forgotten;61;108.193;Linkin Park - Forgotten
2000;Linkin Park;0;Pushing Me Away;61;103.103;Linkin Park - Pushing Me Away
2000;Thievery Corporation;0;Lebanese Blonde;52;92.002;Thievery Corporation - Lebanese Blonde
2000;The Beatles;0;We Can Work It Out - Remastered 2015;61;106.071;The Beatles - We Can Work It Out - Remastered 2015
2000;Mariah Carey;0;Thank God I Found You (feat. Joe & Nas) - Make It Last Remix Edit;58;16.821.099.999.999.900;Mariah Carey - Thank God I Found You (feat. Joe & Nas) - Make It Last Remix Edit
2001;Jimmy Eat World;0;The Middle;78;16.215.200.000.000.000;Jimmy Eat World - The Middle
2001;Train;0;Drops of Jupiter (Tell Me);78;79.297;Train - Drops of Jupiter (Tell Me)
2001;Papa Roach;1;Last Resort;80;90.598;Papa Roach - Last Resort
2001;Weezer;0;Island In The Sun;76;114.623;Weezer - Island In The Sun
2001;System Of A Down;0;Chop Suey!;80;127.288;System Of A Down - Chop Suey!
2001;Gorillaz;1;Clint Eastwood;70;16.796.400.000.000.000;Gorillaz - Clint Eastwood
2001;Nickelback;0;How You Remind Me;78;17.209.400.000.000.000;Nickelback - How You Remind Me
2001;John Mayer;0;Your Body Is a Wonderland;76;94.01;John Mayer - Your Body Is a Wonderland
2001;System Of A Down;0;Toxicity;78;116.681;System Of A Down - Toxicity
2001;Kid Rock;0;Picture (feat. Sheryl Crow);69;97.945;Kid Rock - Picture (feat. Sheryl Crow)
2001;Staind;1;It's Been Awhile;67;116.529;Staind - It's Been Awhile
2001;Sum 41;0;In Too Deep;74;116.046;Sum 41 - In Too Deep
2001;Journey;0;Don't Stop Believin';75;119.25;Journey - Don't Stop Believin'
2001;Sum 41;1;Fat Lip;73;196.505;Sum 41 - Fat Lip
2001;Backstreet Boys;0;I Want It That Way;77;99.031;Backstreet Boys - I Want It That Way
2001;blink-182;0;First Date;73;95.594;blink-182 - First Date
2001;MercyMe;0;I Can Only Imagine;66;15.952.700.000.000.000;MercyMe - I Can Only Imagine
2001;Puddle Of Mudd;0;Blurry;66;15.746.200.000.000.000;Puddle Of Mudd - Blurry
2001;Puddle Of Mudd;1;She Hates Me;70;109.781;Puddle Of Mudd - She Hates Me
2001;System Of A Down;0;Aerials;74;79.342;System Of A Down - Aerials
2001;Fat Joe;1;What's Luv? (feat. Ja-Rule & Ashanti);73;93.955;Fat Joe - What's Luv? (feat. Ja-Rule & Ashanti)
2001;Blake Shelton;0;Ol' Red;66;7.504.899.999.999.990;Blake Shelton - Ol' Red
2001;Usher;0;U Got It Bad;70;124.037;Usher - U Got It Bad
2001;The Strokes;0;Last Nite;64;104.055;The Strokes - Last Nite
2001;Usher;0;U Remind Me;73;93.985;Usher - U Remind Me
2001;The Strokes;0;Someday;64;106.031;The Strokes - Someday
2001;Jimmy Eat World;0;Sweetness;67;13.533.100.000.000.000;Jimmy Eat World - Sweetness
2001;Daft Punk;0;One More Time;75;122.752;Daft Punk - One More Time
2001;Ja Rule;1;Always On Time;73;96.673;Ja Rule - Always On Time
2001;Alicia Keys;0;Fallin';73;95.982;Alicia Keys - Fallin'
2001;TOOL;0;Schism;68;107.438;TOOL - Schism
2001;The Shins;0;New Slang;69;130.016;The Shins - New Slang
2001;Incubus;0;Wish You Were Here;69;169.873;Incubus - Wish You Were Here
2001;South Park Mexican;1;I Must Be High;63;162.039;South Park Mexican - I Must Be High
2001;Cake;0;Short Skirt / Long Jacket;65;119.995;Cake - Short Skirt / Long Jacket
2001;Missy Elliott;1;Get Ur Freak On;69;177.87;Missy Elliott - Get Ur Freak On
2001;Destinys Child;0;Survivor;71;161.109;Destinys Child - Survivor
2001;Daft Punk;0;Harder, Better, Faster, Stronger;71;123.475;Daft Punk - Harder, Better, Faster, Stronger
2001;Jagged Edge;0;Where the Party At (feat. Nelly);66;129.491;Jagged Edge - Where the Party At (feat. Nelly)
2001;Yiruma;0;River Flows In You;72;14.527.700.000.000.000;Yiruma - River Flows In You
2001;Shakira;0;Whenever, Wherever;74;107.661;Shakira - Whenever, Wherever
